NFILES,NSKIPPED,NCHECKED,NBLOOMMISSES,NBLOOMHITS,NFALSEPOSITIVE,NPOSITIVE,NRECORDS
4790,0,4790,4590,200,29,187,380
4790,0,4790,4679,111,26,91,126
4790,0,4790,4589,201,19,187,335
4790,0,4790,4679,111,26,91,126
4790,1897,2893,2742,151,3,148,284
4790,0,4790,4589,201,19,187,335
4790,0,4790,4589,201,19,187,335
1030,1,1029,1023,6,3,3,3
1030,1,1029,1023,6,3,3,3
903,0,903,903,0,0,0,0
4790,0,4790,4667,123,2,121,292
4790,0,4790,4781,9,8,1,2
4790,0,4790,4779,11,7,4,70
4790,4647,143,143,0,0,0,0
1030,1,1029,1023,6,3,3,3
1030,1,1029,1023,6,3,3,3
1030,1,1029,1023,6,3,3,3
1030,1,1029,1023,6,3,3,3
4790,4660,130,126,4,0,4,6
4790,1030,3760,3412,348,8,340,1828
4790,4767,23,23,0,0,0,0
4790,4770,20,20,0,0,0,0
4790,4752,38,15,23,0,23,35
4790,4647,143,135,8,0,8,8
4790,4752,38,10,28,0,28,65
4802,4790,12,10,2,0,2,4
4802,0,4802,4799,3,3,0,0
4802,0,4802,4798,4,3,1,3
4802,0,4802,4783,19,4,15,17
4802,4790,12,12,0,0,0,0
4802,4790,12,11,1,0,1,2
4802,4790,12,12,0,0,0,0
4802,4790,12,10,2,0,2,4
4802,4801,1,0,1,0,1,3
4802,4801,1,1,0,0,0,0
4802,4801,1,1,0,0,0,0
4802,4801,1,1,0,0,0,0
4808,4802,6,3,3,0,3,5
4808,4713,95,91,4,0,4,10
4808,4802,6,6,0,0,0,0
4808,4666,142,142,0,0,0,0
4808,4802,6,6,0,0,0,0
4808,2291,2517,2489,28,1,27,108
4808,4802,6,6,0,0,0,0
4808,4784,24,24,0,0,0,0
4808,4766,42,42,0,0,0,0
4808,4802,6,6,0,0,0,0
4808,0,4808,4801,7,4,3,5
4808,4802,6,6,0,0,0,0
4808,4666,142,142,0,0,0,0
4808,4802,6,6,0,0,0,0
4808,4802,6,6,0,0,0,0
4808,4790,18,18,0,0,0,0
4808,4802,6,6,0,0,0,0
4808,4802,6,6,0,0,0,0
4808,4698,110,110,0,0,0,0
4808,0,4808,4805,3,2,1,3
4808,4647,161,161,0,0,0,0
4808,4647,161,161,0,0,0,0
4808,4802,6,6,0,0,0,0
4808,4802,6,6,0,0,0,0
4808,4647,161,161,0,0,0,0
4808,4802,6,6,0,0,0,0
4808,4802,6,6,0,0,0,0
4808,4766,42,42,0,0,0,0
4808,0,4808,4802,6,4,2,6
4818,4808,10,4,6,0,6,11
4818,4784,34,19,15,0,15,28
